,Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,cogs,Total,Date,Time,Payment,Rating
0,750-67-8428,Hà Nội,Member,Nữ,Health and beauty,74.69,7,26.1415,522.83,548.97,1/5/19,13:08,Ewallet,6
1,226-31-3081,TP HCM,Normal,Nữ,Electronic accessories,15.28,5,3.82,76.4,80.22,3/8/19,10:29,Cash,7
2,631-41-3108,Hà Nội,Normal,Nam,Home and lifestyle,46.33,7,16.2155,324.31,340.53,3/3/19,13:23,Credit card,6
3,123-19-1176,Hà Nội,Member,Nam,Health and beauty,58.22,8,23.288,465.76,489.05,1/27/19,20:33,Ewallet,7
4,373-73-7910,Hà Nội,Normal,Nam,Sports and travel,86.31,7,30.2085,604.17,634.38,2/8/19,10:37,Ewallet,7
5,699-14-3026,TP HCM,Normal,Nam,Electronic accessories,85.39,7,29.8865,597.73,627.62,3/25/19,18:30,Ewallet,6
6,355-53-5943,Hà Nội,Member,Nữ,Electronic accessories,68.84,6,20.652,413.04,433.69,2/25/19,14:36,Ewallet,7
7,315-22-5665,TP HCM,Normal,Nữ,Home and lifestyle,73.56,10,36.78,735.6,772.38,2/24/19,11:38,Ewallet,6
8,665-32-9167,Hà Nội,Member,Nữ,Health and beauty,36.26,2,3.626,72.52,76.15,1/10/19,17:15,Credit card,7
9,692-92-5582,Đà Nẵng,Member,Nữ,Food and beverages,54.84,3,8.226,164.52,172.75,2/20/19,13:27,Credit card,8
10,351-62-0822,TP HCM,Member,Nữ,Fashion accessories,14.48,4,2.896,57.92,60.82,2/6/19,18:07,Ewallet,8
11,529-56-3974,Đà Nẵng,Member,Nam,Electronic accessories,25.51,4,5.102,102.04,107.14,3/9/19,17:03,Cash,7
12,365-64-0515,Hà Nội,Normal,Nữ,Electronic accessories,46.95,5,11.7375,234.75,246.49,2/12/19,10:25,Ewallet,5
13,252-56-2699,TP HCM,Normal,Nam,Food and beverages,43.19,10,21.595,431.9,453.5,2/7/19,16:48,Ewallet,6
14,829-34-3910,Hà Nội,Normal,Nữ,Health and beauty,71.38,10,35.69,713.8,749.49,3/29/19,19:21,Cash,6
15,299-46-1805,Đà Nẵng,Member,Nữ,Sports and travel,93.72,6,28.116,562.32,590.44,1/15/19,16:19,Cash,6
16,656-95-9349,Hà Nội,Member,Nữ,Health and beauty,68.93,7,24.1255,482.51,506.64,3/11/19,11:03,Credit card,6
17,765-26-6951,Hà Nội,Normal,Nam,Sports and travel,72.61,6,21.783,435.66,457.44,1/1/19,10:39,Credit card,7
18,329-62-1586,Hà Nội,Normal,Nam,Food and beverages,54.67,3,8.2005,164.01,172.21,1/21/19,18:00,Credit card,8
19,319-50-3348,Đà Nẵng,Normal,Nữ,Home and lifestyle,40.3,2,4.03,80.6,84.63,3/11/19,15:30,Ewallet,8
20,300-71-4605,TP HCM,Member,Nam,Electronic accessories,86.04,5,21.51,430.2,451.71,2/25/19,11:24,Ewallet,7
21,371-85-5789,TP HCM,Normal,Nam,Health and beauty,87.98,3,13.197,263.94,277.14,3/5/19,10:40,Ewallet,7
22,273-16-6619,Đà Nẵng,Normal,Nam,Home and lifestyle,33.2,2,3.32,66.4,69.72,3/15/19,12:20,Credit card,7
23,636-48-8204,Hà Nội,Normal,Nam,Electronic accessories,34.56,5,8.64,172.8,181.44,2/17/19,11:15,Ewallet,9
24,549-59-1358,Hà Nội,Member,Nam,Sports and travel,88.63,3,13.2945,265.89,279.18,3/2/19,17:36,Ewallet,6
25,227-03-5010,TP HCM,Member,Nữ,Home and lifestyle,52.59,8,21.036,420.72,441.76,3/22/19,19:20,Credit card,7
26,649-29-6775,Đà Nẵng,Normal,Nam,Fashion accessories,33.52,1,1.676,33.52,35.2,2/8/19,15:31,Cash,8
27,189-17-4241,Hà Nội,Normal,Nữ,Fashion accessories,87.67,2,8.767,175.34,184.11,3/10/19,12:17,Credit card,7
28,145-94-9061,TP HCM,Normal,Nữ,Food and beverages,88.36,5,22.09,441.8,463.89,1/25/19,19:48,Cash,7
29,848-62-7243,Hà Nội,Normal,Nam,Health and beauty,24.89,9,11.2005,224.01,235.21,3/15/19,15:36,Cash,8
30,871-79-8483,TP HCM,Normal,Nam,Fashion accessories,94.13,5,23.5325,470.65,494.18,2/25/19,19:39,Credit card,6
31,149-71-6266,Đà Nẵng,Member,Nam,Sports and travel,78.07,9,35.1315,702.63,737.76,1/28/19,12:43,Cash,5
32,640-49-2076,Đà Nẵng,Normal,Nam,Sports and travel,83.78,8,33.512,670.24,703.75,1/10/19,14:49,Cash,6
33,595-11-5460,Hà Nội,Normal,Nam,Health and beauty,96.58,2,9.658,193.16,202.82,3/15/19,10:12,Credit card,7
34,183-56-6882,TP HCM,Member,Nữ,Food and beverages,99.42,4,19.884,397.68,417.56,2/6/19,10:42,Ewallet,6
35,232-16-2483,TP HCM,Member,Nữ,Sports and travel,68.12,1,3.406,68.12,71.53,1/7/19,12:28,Ewallet,8
36,129-29-8530,TP HCM,Member,Nam,Sports and travel,62.62,5,15.655,313.1,328.76,3/10/19,19:15,Ewallet,7
37,272-65-1806,Hà Nội,Normal,Nữ,Electronic accessories,60.88,9,27.396,547.92,575.32,1/15/19,17:17,Ewallet,6
38,333-73-7901,TP HCM,Normal,Nữ,Health and beauty,54.92,8,21.968,439.36,461.33,3/23/19,13:24,Ewallet,8
39,777-82-7220,Đà Nẵng,Member,Nam,Home and lifestyle,30.12,8,12.048,240.96,253.01,3/3/19,13:01,Cash,7
40,280-35-5823,Đà Nẵng,Member,Nữ,Home and lifestyle,86.72,1,4.336,86.72,91.06,1/17/19,18:45,Ewallet,9
